B G R =  [72 56 91], merah
B G R =  [74 58 92], merah
B G R =  [74 58 92], merah
B G R =  [71 55 89], merah
B G R =  [72 54 87], merah
B G R =  [76 56 87], merah
B G R =  [77 55 86], merah
B G R =  [81 58 89], merah
B G R =  [79 55 87], merah
B G R =  [78 53 87], merah
B G R =  [77 51 87], merah
B G R =  [61 49 86], merah
B G R =  [59 49 85], merah
B G R =  [54 46 80], merah
B G R =  [55 48 82], merah
B G R =  [56 50 84], merah
B G R =  [54 48 82], merah
B G R =  [55 48 82], merah
B G R =  [ 77 170 132], kuning
B G R =  [ 76 173 136], kuning
B G R =  [ 66 170 132], kuning
B G R =  [ 52 165 127], kuning
B G R =  [ 41 161 123], kuning
B G R =  [ 72 169 129], kuning
B G R =  [ 80 172 133], kuning
B G R =  [ 83 168 130], kuning
B G R =  [ 82 163 126], kuning
B G R =  [ 87 165 131], kuning
B G R =  [ 92 167 135], kuning
B G R =  [ 94 167 137], kuning
B G R =  [ 87 164 133], kuning
B G R =  [ 70 156 122], kuning
B G R =  [ 75 163 126], kuning
B G R =  [ 76 165 125], kuning
B G R =  [ 83 171 130], kuning
B G R =  [ 85 172 131], kuning
B G R =  [162  73  11], biru
B G R =  [160  73   9], biru
B G R =  [154  69   4], biru
B G R =  [158  71   7], biru
B G R =  [159  72   8], biru
B G R =  [148  63   0], biru
B G R =  [147  61   1], biru
B G R =  [156  67  10], biru
B G R =  [159  69  14], biru
B G R =  [160  64  14], biru
B G R =  [165  69  18], biru
B G R =  [165  71  18], biru
B G R =  [166  74  19], biru
B G R =  [163  73  15], biru
B G R =  [156  68   8], biru
B G R =  [157  70  10], biru
B G R =  [164  78  18], biru
